"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
1;"GT";"urbain";"homme";59;"marie";"primaire";"retraité";6;FALSE;5103
2;"GT";"urbain";"homme";52;"marie";"primaire";"employé";5;FALSE;5486
3;"GT";"urbain";"femme";34;"divorce";"secondaire";"chomeur";2;FALSE;5962
4;"GT";"urbain";"homme";65;"marie";"primaire";"inactif";2;FALSE;3699
5;"GT";"urbain";"homme";35;"marie";"secondaire";"ouvrier";4;FALSE;5058
6;"GT";"urbain";"homme";43;"marie";"primaire";"ouvrier";5;FALSE;3741
7;"GT";"urbain";"femme";64;"veuf";"aucun";"ouvrier";6;FALSE;3072
8;"GT";"urbain";"homme";71;"marie";"secondaire";"retraité";3;FALSE;7202
9;"GT";"urbain";"homme";51;"marie";"secondaire";"ouvrier";2;FALSE;8262
10;"GT";"urbain";"homme";56;"marie";"primaire";"ouvrier";4;FALSE;7550
11;"GT";"urbain";"homme";31;"marie";"supérieur";"indépendant";3;FALSE;7376
12;"GT";"urbain";"homme";44;"marie";"primaire";"indépendant";5;FALSE;2705
13;"GT";"urbain";"femme";50;"veuf";"aucun";"ouvrier";5;FALSE;3852
14;"GT";"urbain";"femme";66;"veuf";"primaire";"retraité";3;FALSE;5358
16;"GT";"urbain";"homme";34;"marie";"primaire";"ouvrier";3;FALSE;5121
17;"GT";"urbain";"homme";61;"marie";"primaire";"retraité";2;FALSE;5004
18;"GT";"urbain";"homme";59;"marie";"primaire";"retraité";4;FALSE;5718
19;"GT";"urbain";"femme";61;"veuf";"aucun";"inactif";4;FALSE;4556
20;"GT";"urbain";"homme";56;"marie";"primaire";"employé";5;FALSE;5787
21;"GT";"urbain";"homme";64;"marie";"primaire";"inactif";4;FALSE;4793
22;"GT";"urbain";"homme";46;"marie";"secondaire";"ouvrier";4;FALSE;4613
23;"GT";"urbain";"homme";52;"marie";"primaire";"employé";3;FALSE;5706
24;"GT";"urbain";"homme";63;"marie";"secondaire";"retraité";2;FALSE;5874
25;"GT";"urbain";"homme";52;"marie";"primaire";"employé";6;FALSE;5972
26;"GT";"urbain";"homme";78;"marie";"primaire";"retraité";2;FALSE;11140
27;"GT";"urbain";"femme";53;"divorce";"primaire";"inactif";5;FALSE;5042
28;"GT";"urbain";"homme";60;"marie";"secondaire";"indépendant";5;FALSE;4249
29;"GT";"urbain";"homme";53;"marie";"secondaire";"employé";5;FALSE;3334
30;"GT";"urbain";"homme";76;"marie";"primaire";"retraité";3;FALSE;6765
31;"GT";"urbain";"femme";55;"veuf";"primaire";"ouvrier";3;FALSE;7271
32;"GT";"urbain";"homme";34;"marie";"supérieur";"employé";4;FALSE;6436
33;"GT";"urbain";"homme";87;"marie";"aucun";"retraité";4;FALSE;5884
34;"GT";"urbain";"homme";59;"marie";"primaire";"indépendant";2;FALSE;5870
35;"GT";"urbain";"femme";72;"veuf";"aucun";"inactif";2;FALSE;15898
36;"GT";"urbain";"femme";63;"veuf";"aucun";"retraité";4;FALSE;5626
37;"GT";"urbain";"homme";73;"marie";"aucun";"retraité";3;FALSE;7785
38;"GT";"urbain";"homme";42;"marie";"secondaire";"indépendant";4;FALSE;5606
39;"GT";"urbain";"homme";51;"marie";"primaire";"ouvrier";4;FALSE;4781
40;"GT";"urbain";"homme";49;"marie";"secondaire";"cadre";4;FALSE;5077
41;"GT";"urbain";"homme";55;"marie";"primaire";"ouvrier";4;FALSE;4433
42;"GT";"urbain";"homme";66;"marie";"aucun";"ouvrier";2;FALSE;5222
43;"GT";"urbain";"femme";67;"veuf";"primaire";"inactif";5;FALSE;3644
44;"GT";"urbain";"homme";49;"marie";"primaire";"ouvrier";4;TRUE;2289
45;"GT";"urbain";"homme";62;"marie";"secondaire";"retraité";3;FALSE;4790
46;"GT";"urbain";"homme";57;"marie";"primaire";"employé";5;FALSE;3901
47;"GT";"urbain";"homme";37;"marie";"primaire";"ouvrier";4;FALSE;4359
48;"GT";"urbain";"homme";78;"marie";"aucun";"retraité";2;FALSE;4593
49;"GT";"urbain";"homme";51;"marie";"primaire";"employé";4;FALSE;7165
50;"GT";"urbain";"femme";64;"divorce";"secondaire";"ouvrier";4;FALSE;4673
51;"GT";"urbain";"femme";58;"veuf";"primaire";"inactif";3;FALSE;4751
52;"GT";"urbain";"homme";63;"marie";"primaire";"indépendant";5;FALSE;5327
53;"GT";"urbain";"homme";73;"celibataire";"primaire";"cadre";3;FALSE;6738
54;"GT";"urbain";"femme";64;"veuf";"aucun";"inactif";5;TRUE;1710
55;"GT";"urbain";"homme";77;"marie";"aucun";"inactif";3;FALSE;6346
56;"GT";"urbain";"homme";58;"marie";"primaire";"ouvrier";4;FALSE;3933
57;"GT";"urbain";"femme";65;"veuf";"aucun";"inactif";2;FALSE;6523
58;"GT";"urbain";"femme";58;"celibataire";"primaire";"retraité";1;FALSE;10449
59;"GT";"urbain";"homme";87;"marie";"aucun";"retraité";5;FALSE;4394
60;"GT";"urbain";"femme";49;"divorce";"primaire";"ouvrier";2;FALSE;6279
61;"GT";"urbain";"homme";29;"marie";"secondaire";"indépendant";4;FALSE;9339
62;"GT";"urbain";"homme";42;"marie";"secondaire";"ouvrier";4;FALSE;3567
63;"GT";"urbain";"homme";53;"marie";"primaire";"ouvrier";5;TRUE;1556
64;"GT";"urbain";"femme";71;"veuf";"aucun";"inactif";1;FALSE;5971
65;"GT";"urbain";"homme";39;"marie";"primaire";"indépendant";5;FALSE;4600
66;"GT";"urbain";"homme";42;"marie";"primaire";"ouvrier";5;TRUE;2641
67;"GT";"urbain";"homme";45;"marie";"primaire";"indépendant";5;FALSE;3088
68;"GT";"urbain";"homme";74;"marie";"aucun";"employé";2;FALSE;4871
69;"GT";"urbain";"femme";43;"veuf";"primaire";"ouvrier";3;FALSE;4445
70;"GT";"urbain";"homme";51;"marie";"secondaire";"ouvrier";5;FALSE;3856
71;"GT";"urbain";"homme";30;"marie";"secondaire";"ouvrier";4;FALSE;4758
72;"GT";"urbain";"homme";30;"marie";"secondaire";"cadre";3;FALSE;4617
73;"GT";"urbain";"homme";69;"marie";"primaire";"retraité";3;FALSE;11072
74;"GT";"urbain";"homme";61;"marie";"aucun";"ouvrier";4;FALSE;12251
75;"GT";"urbain";"homme";56;"marie";"primaire";"inactif";8;FALSE;3985
76;"GT";"urbain";"homme";37;"marie";"secondaire";"ouvrier";4;FALSE;4105
78;"GT";"urbain";"homme";50;"marie";"primaire";"ouvrier";5;FALSE;4335
79;"GT";"urbain";"homme";43;"marie";"secondaire";"chomeur";5;FALSE;2888
80;"GT";"urbain";"homme";56;"marie";"primaire";"indépendant";5;FALSE;3841
81;"GT";"urbain";"homme";57;"marie";"secondaire";"retraité";5;FALSE;11519
82;"GT";"urbain";"homme";52;"marie";"supérieur";"indépendant";2;FALSE;13245
84;"GT";"urbain";"homme";71;"marie";"primaire";"retraité";7;FALSE;10659
85;"GT";"urbain";"homme";53;"marie";"aucun";"employé";4;FALSE;3437
86;"GT";"urbain";"homme";47;"marie";"primaire";"ouvrier";4;FALSE;4456
87;"GT";"urbain";"femme";64;"celibataire";"primaire";"inactif";6;FALSE;5050
88;"GT";"urbain";"homme";55;"marie";"secondaire";"employé";5;FALSE;5368
89;"GT";"urbain";"femme";42;"divorce";"secondaire";"ouvrier";2;FALSE;5259
90;"GT";"urbain";"homme";54;"marie";"secondaire";"employé";3;FALSE;4089
91;"GT";"urbain";"femme";62;"veuf";"aucun";"retraité";3;FALSE;6427
92;"GT";"urbain";"homme";48;"marie";"primaire";"indépendant";4;FALSE;3642
93;"GT";"urbain";"femme";66;"veuf";"aucun";"inactif";3;FALSE;5623
94;"GT";"urbain";"homme";62;"marie";"primaire";"ouvrier";4;FALSE;4105
95;"GT";"urbain";"homme";63;"celibataire";"aucun";"inactif";3;FALSE;4326
96;"GT";"urbain";"homme";42;"marie";"primaire";"employé";4;FALSE;4309
97;"GT";"urbain";"homme";69;"marie";"aucun";"retraité";2;FALSE;10490
98;"GT";"urbain";"homme";37;"marie";"secondaire";"employé";4;FALSE;4548
99;"GT";"urbain";"homme";44;"marie";"primaire";"ouvrier";3;FALSE;3218
100;"GT";"urbain";"homme";53;"marie";"primaire";"cadre";4;FALSE;9352
101;"GT";"urbain";"homme";46;"marie";"primaire";"ouvrier";5;TRUE;1907
102;"GT";"urbain";"homme";52;"marie";"primaire";"retraité";2;FALSE;8215
103;"GT";"urbain";"homme";39;"marie";"primaire";"ouvrier";3;FALSE;3448
104;"GT";"urbain";"homme";79;"marie";"aucun";"retraité";3;FALSE;4505
105;"GT";"urbain";"homme";56;"marie";"primaire";"ouvrier";4;FALSE;8458
106;"GT";"urbain";"femme";49;"divorce";"primaire";"ouvrier";3;FALSE;6749
107;"GT";"urbain";"homme";77;"celibataire";"primaire";"ouvrier";3;FALSE;6844
108;"GT";"urbain";"homme";65;"marie";"primaire";"retraité";2;FALSE;7771
109;"GT";"urbain";"homme";62;"marie";"supérieur";"retraité";3;FALSE;19380
110;"GT";"urbain";"homme";33;"marie";"supérieur";"cadre";2;FALSE;16582
111;"GT";"urbain";"femme";77;"veuf";"aucun";"inactif";2;FALSE;9659
112;"GT";"urbain";"homme";56;"marie";"primaire";"employé";3;FALSE;4113
113;"GT";"urbain";"homme";52;"veuf";"secondaire";"ouvrier";3;FALSE;5953
114;"GT";"urbain";"femme";80;"veuf";"aucun";"inactif";4;FALSE;4515
