del_code;del_nom_fr;del_nom_ar;gou_code;gou_nom;gou_cap;gou_cap_dist;reg_code;reg_nom;popto_2004;popco_2004;immig_2004;emigr_2004;mobil_2004;menag_2004;ordin_2004;porta_2004;telef_2004;popto_2014;popco_2014;immig_2014;emigr_2014;mobil2014;menag_2014;ordin_2014;porta_2014;telef_2014;popto_2010;surfa_2010;idr_2011
NE.TU.CA;Carthage;قرطاج;TU;Tunis;1;1;NE;Nord-est;20715;20715;3265;2379;5644;5640;1410;3892;3440;24216;24216;2285;17109;19394;6727;4186;6643;3199;21127;8,302;0,513
NE.TU.MD;Medina;المدينة;TU;Tunis;0;16,9;NE;Nord-est;26703;4733;2771;42243;45014;7584;538;3701;3322;21400;21400;1823;29460;31283;6221;2646;5962;1942;25757;1,523;0,418
NE.TU.BB;Bab Bhar;باب بحر;TU;Tunis;0;15,5;NE;Nord-est;39806;39806;6812;12701;19513;12654;2101;9440;6960;36210;36210;5887;3643;9530;11821;7313;11672;3737;36753;5,721;1
NE.TU.BS;Bab Souika;باب سويقة;TU;Tunis;0;17,1;NE;Nord-est;33284;33284;2548;7199;9747;9038;633;4935;4121;29185;29185;2589;6654;9243;8517;3849;8327;2328;31762;2,218;0,922
NE.TU.OM;Omrane;العمران;TU;Tunis;0;17,5;NE;Nord-est;40801;40801;3645;4446;8091;9804;1137;5167;4637;42208;42208;4865;4758;9623;11483;5303;11240;3477;41702;4,922;0,42
NE.TU.OS;Omrane Supérieur;العمران  الأعلى;TU;Tunis;0;19,7;NE;Nord-est;62138;62138;8805;6375;15180;14944;2257;9998;7950;55513;55513;4927;5363;10290;15070;7957;14846;5840;65237;3,374;0,462
NE.TU.TA;El Tahrir;التحرير;TU;Tunis;0;20,2;NE;Nord-est;21956;21956;3790;2758;6548;5445;958;4057;3055;21709;21709;2544;2937;5481;5898;3515;5827;2369;22980;1,809;0,501
NE.TU.MZ;El Menzah;المنزه;TU;Tunis;0;16,6;NE;Nord-est;43320;43320;5995;6856;12851;11881;5881;10360;9136;41830;41830;5436;9178;14614;12547;10358;12468;8590;46346;10,732;0,654
NE.TU.KH;Cité Elkhadra;حي الخضراء;TU;Tunis;0;11,7;NE;Nord-est;36818;36818;6755;4073;10828;10100;2929;8050;6151;35173;35173;4872;3797;8669;9851;7037;9804;4469;38860;19,758;0,791
NE.TU.LB;Bardo;باردو;TU;Tunis;0;20,3;NE;Nord-est;70244;70244;8507;12838;21345;17799;3239;12281;10662;71961;71961;7604;11455;19059;21289;13048;21025;8826;68560;6,795;0,476
NE.TU.SI;Sijoumi;السيجومي;TU;Tunis;0;17,9;NE;Nord-est;36171;36171;1944;4285;6229;7700;200;3188;3419;33870;33870;1470;4007;5477;8822;2427;8535;1539;34361;2,044;0,317
NE.TU.EZ;Ezzouhour;الزهور;TU;Tunis;0;20,2;NE;Nord-est;40434;40434;3915;6335;10250;9436;717;5473;5011;40728;40728;2229;5247;7476;11148;5016;10971;3276;39198;2,842;0,38
