DIV;Annee;Rang;CodeClub;X;Y;PTS;J;G;N;P;BP;BC
DI ;1955;1;CSHL;10.346;36.728;58;22;15;6;1;56;15
DI ;1955;2;ESS;10.624;35.829;55;22;15;3;4;54;28
DI ;1955;3;CA;10.189;36.804;50;22;12;4;6;43;21
DI ;1955;4;EST;10.187;36.814;50;22;11;6;5;38;21
DI ;1955;5;CAB;9.866;37.279;48;22;11;4;7;36;22
DI ;1955;6;USMF;10.898;35.620;43;22;8;5;9;41;27
DI ;1955;7;ST;10.127;36.816;43;22;9;3;10;43;41
DI ;1955;8;CSS;10.753;34.726;40;22;5;8;9;25;35
DI ;1955;9;SRS;10.770;34.752;39;22;7;3;12;34;43
DI ;1955;10;COT;10.153;36.799;37;22;6;3;13;25;48
DI ;1955;11;PFCB;9.858;37.273;37;22;5;5;12;35;71
DI ;1955;12;PS;10.632;35.823;28;22;2;2;18;19;77
DI ;1956;1;ST;10.127;36.816;58;22;16;4;2;54;24
DI ;1956;2;EST;10.187;36.814;55;22;13;7;2;49;18
DI ;1956;3;ESS;10.624;35.829;51;22;14;1;7;44;27
DI ;1956;4;CA;10.189;36.804;47;22;9;7;6;39;31
DI ;1956;5;JSMet;10.165;36.804;47;22;8;9;5;49;42
DI ;1956;6;CSHL;10.346;36.728;43;22;8;5;9;41;38
DI ;1956;7;USMB;9.786;37.156;43;22;7;7;8;30;42
DI ;1956;8;CAB;9.866;37.279;41;22;7;5;10;33;35
DI ;1956;9;COT;10.153;36.799;41;22;7;5;10;37;54
DI ;1956;10;CSS;10.753;34.726;39;22;5;7;10;29;36
DI ;1956;11;PFCB;9.858;37.273;37;22;4;7;11;28;49
DI ;1956;12;SRS;10.770;34.752;24;22;1;2;19;20;57
DI ;1957;1;ESS;10.624;35.829;70;28;17;8;3;56;28
DI ;1957;2;EST;10.187;36.814;67;28;16;7;5;57;35
DI ;1957;3;ST;10.127;36.816;64;28;15;6;7;61;35
DI ;1957;4;UST;10.178;36.799;64;28;14;8;6;63;40
DI ;1957;5;CAB;9.866;37.279;58;28;11;6;9;53;37
DI ;1957;6;CA;10.189;36.804;57;28;10;9;9;45;34
DI ;1957;7;SP;10.315;36.742;56;28;8;12;8;46;45
DI ;1957;8;CSHL;10.346;36.728;55;28;10;7;11;53;47
DI ;1957;9;SRS;10.770;34.752;55;28;10;7;11;41;44
DI ;1957;10;SS;10.632;35.823;55;28;10;7;11;31;41
DI ;1957;11;JSMet;10.165;36.804;54;28;8;10;10;44;50
DI ;1957;12;CSS;10.753;34.726;54;28;10;6;12;32;45
DI ;1957;13;USMB;9.786;37.156;54;28;10;3;15;47;73
DI ;1957;14;PFCB;9.858;37.273;40;28;4;5;19;27;68
DI ;1957;15;USMO;10.819;35.775;39;28;4;3;21;32;76
DI ;1958;1;EST;10.187;36.814;67;26;19;3;4;62;24
DI ;1958;2;ESS;10.624;35.829;64;26;15;8;3;43;25
DI ;1958;3;UST;10.178;36.799;61;26;14;7;5;59;32
DI ;1958;4;ST;10.127;36.816;60;26;14;6;6;44;23
DI ;1958;5;CA;10.189;36.804;55;26;11;7;8;42;34
DI ;1958;6;CSHL;10.346;36.728;51;26;9;10;7;28;30
DI ;1958;7;SRS;10.770;34.752;51;26;8;10;8;34;32
DI ;1958;8;JSMet;10.165;36.804;46;26;8;9;9;41;44
DI ;1958;9;SS;10.632;35.823;46;26;7;6;13;32;41
DI ;1958;10;CAB;9.866;37.279;46;26;6;8;12;24;32
DI ;1958;11;SP;10.315;36.742;45;26;7;5;14;32;49
DI ;1958;12;CSS;10.753;34.726;44;26;4;10;12;24;43
DI ;1958;13;SG;10.099;33.848;43;26;6;5;15;18;37
DI ;1958;14;OK;8.698;36.177;40;26;4;6;16;25;55
DI ;1959;1;EST;10.187;36.814;65;24;19;3;2;65;23
DI ;1959;2;ST;10.127;36.816;59;24;16;3;5;58;25
DI ;1959;3;CA;10.189;36.804;51;24;11;5;8;38;34
DI ;1959;4;CSHL;10.346;36.728;51;24;8;11;5;24;22
DI ;1959;5;CAB;9.866;37.279;50;24;9;8;7;26;28
DI ;1959;6;SP;10.315;36.742;47;24;7;9;8;30;32
DI ;1959;7;ESS;10.624;35.829;46;24;7;8;9;30;27
DI ;1959;8;CSS;10.753;34.726;46;24;6;10;8;25;29
DI ;1959;9;ASM;10.320;36.875;46;24;8;6;10;28;33
DI ;1959;10;SS;10.632;35.823;46;24;6;10;8;20;29
DI ;1959;11;UST;10.178;36.799;44;24;5;10;9;42;40
DI ;1959;12;SRS;10.770;34.752;42;24;4;5;15;26;57
DI ;1959;13;JSMet;10.165;36.804;36;24;2;8;14;24;57
DI ;1960;1;ST;10.127;36.816;54;22;16;2;2;42;17
DI ;1960;2;EST;10.187;36.814;51;22;14;3;3;48;14
DI ;1960;3;UST;10.178;36.799;45;22;11;3;6;37;30
DI ;1960;4;CSHL;10.346;36.728;42;22;9;4;7;28;22
DI ;1960;5;ASM;10.320;36.875;42;22;9;4;7;34;29
DI ;1960;6;SS;10.632;35.823;38;22;5;8;7;14;22
DI ;1960;7;CSS;10.753;34.726;36;22;5;6;9;20;35
DI ;1960;8;CA;10.189;36.804;35;22;5;5;10;14;21
DI ;1960;9;CAB;9.866;37.279;33;22;3;7;10;22;31
DI ;1960;10;EMM;10.046;35.493;33;22;6;1;13;20;44
DI ;1960;11;SP;10.315;36.742;31;22;4;3;13;18;32
DI ;1961;1;ST;10.127;36.816;58;22;16;4;2;39;10
DI ;1961;2;SS;10.632;35.823;56;22;15;4;3;39;12
DI ;1961;3;EST;10.187;36.814;55;22;12;9;1;35;14
DI ;1961;4;CA;10.189;36.804;48;22;10;6;6;32;22
DI ;1961;5;CSHL;10.346;36.728;42;22;5;10;7;27;27
DI ;1961;6;UST;10.178;36.799;41;22;8;3;11;34;29
DI ;1961;7;ASM;10.320;36.875;41;22;6;7;9;25;31
DI ;1961;8;SG;10.099;33.848;40;22;6;6;10;15;28
DI ;1961;9;USMO;10.819;35.775;39;22;5;7;10;23;27
DI ;1961;10;CSS;10.753;34.726;39;22;5;7;10;20;28
DI ;1961;11;CAB;9.866;37.279;39;22;5;7;10;18;30
DI ;1961;12;EMM;10.046;35.493;30;22;2;4;16;11;60
DI ;1962;1;ESS;10.624;35.829;58;22;14;8;0;35;13
DI ;1962;2;ASM;10.320;36.875;49;22;10;7;5;48;32
DI ;1962;3;ST;10.127;36.816;49;22;12;3;7;33;21
DI ;1962;4;CSS;10.753;34.726;47;22;8;9;5;29;24
DI ;1962;5;CA;10.189;36.804;46;22;8;8;6;24;16
DI ;1962;6;SS;10.632;35.823;42;22;6;8;8;25;28
DI ;1962;7;USMO;10.819;35.775;42;22;5;10;7;28;34
DI ;1962;8;UST;10.178;36.799;42;22;7;6;9;24;33
DI ;1962;9;ENAM;9.679;37.035;42;22;7;6;9;25;39
DI ;1962;10;EST;10.187;36.814;41;22;7;5;10;36;32
DI ;1962;11;CSHL;10.346;36.728;41;22;8;3;11;33;36
DI ;1962;12;SG;10.099;33.848;29;22;2;3;17;19;51
DI ;1963;1;CA;10.189;36.804;53;22;11;9;2;34;10
DI ;1963;2;EST;10.187;36.814;51;22;10;9;3;32;15
DI ;1963;3;CSS;10.753;34.726;50;22;10;8;4;38;18
DI ;1963;4;ST;10.127;36.816;49;22;10;7;5;21;11
DI ;1963;5;SRS;10.770;34.752;47;22;8;9;5;25;25
DI ;1963;6;ESS;10.624;35.829;46;22;8;8;6;29;18
DI ;1963;7;ASM;10.320;36.875;45;22;8;7;7;35;29
DI ;1963;8;CAB;9.866;37.279;43;22;7;7;8;25;28
DI ;1963;9;UST;10.178;36.799;39;22;7;3;12;30;38
DI ;1963;10;ENAM;9.679;37.035;39;22;7;3;12;17;45
DI ;1963;11;SS;10.632;35.823;34;22;2;8;12;12;33
DI ;1963;12;USMO;10.819;35.775;32;22;3;4;15;12;40
DI ;1964;1;ST;10.127;36.816;56;22;14;6;2;41;16
DI ;1964;2;CA;10.189;36.804;55;22;13;7;2;39;14
DI ;1964;3;ESS;10.624;35.829;49;22;10;7;5;37;19
DI ;1964;4;ASM;10.320;36.875;49;22;10;7;5;32;27
DI ;1964;5;CSS;10.753;34.726;47;22;9;7;6;28;24
DI ;1964;6;EST;10.187;36.814;44;22;7;8;7;21;21
DI ;1964;7;SRS;10.770;34.752;43;22;6;9;7;22;23
DI ;1964;8;CAB;9.866;37.279;41;22;7;5;10;29;36
DI ;1964;9;CSHL;10.346;36.728;40;22;6;6;10;20;31
DI ;1964;10;SS;10.632;35.823;37;22;5;5;12;19;31
DI ;1964;11;ENAM;9.679;37.035;34;22;4;4;14;24;51
DI ;1964;12;UST;10.178;36.799;33;22;2;7;13;14;33
DI ;1965;1;ESS;10.624;35.829;58;22;15;6;1;53;19
DI ;1965;2;CSS;10.753;34.726;49;22;11;5;6;39;23
DI ;1965;3;ASM;10.320;36.875;48;22;9;8;5;34;23
