CodeClub;NomClub;CodeDel;NomDel;X;Y
AG;AvenirGrombalia;TS115D;Grombalia ;36.594;10.505
AH;AlHilelSport(Zahra);TS1136;Zahra;36.742;10.315
AMCHL;AMelClubHamemLif;TS1133;HamemLif;36.728;10.346
AMS;AssociationMegrineSportif;TS1138;Megrine ;36.772;10.239
APS;AvenirPopulairedeSoliman;TS115A;Soliman;36.694;10.484
ASA;AssociationSportifAriana;TS1120;LArianaVille  ;36.854;10.191
ASD;AssociationSportifdeDjerba;TS3125;DjerbaHoumetSouk ;33.871;10.858
ASDJ;AssociationSportifdeDjerba;TS3125;DjerbaHoumetSouk ;33.871;10.858
ASG;AvenirSportifdeGabes;TS3110;GabesMedina  ;33.848;10.099
ASGH;AssociationSportivedeGhardimaou;TS1226;Ghardimaou;36.446;8.443
ASI;ASIDjbelJloud;TS111H;DjbelJloud;36.754;10.229
ASK;AvenirSportifdeKasserine;TS2220;KasserineNord  ;35.175;8.798
ASM;AvenirSportifdeMarsa ;TS111K;LaMarsa ;36.875;10.320
ASMAH;ASMahres;TS214E;Mahres;34.525;10.509
ASMAN;ASMansoura;TS1117;ElMansoura;36.682;10.581
ASOE;AssociationSportifOued Elili ;TS1142;OuedEllil ;36.837;10.035
ASSA;AssociationSportiveSoukArbaa(JS);TS1220;JendoubaSud;36.494;8.782
AST;AssociationSportifTeboulba;TS2129;Teboulba;35.642;10.971
BSA;BadrSportifElAin;TS2144;SfaxSud;34.741;10.765
CA;ClubAfricain;TS1111;LaMedina ;36.804;10.189
CAB;ClubAthletiquedeBizerte;TS1170;BizerteNord  ;37.279;9.866
CM;CMednine;TS3121;MedenineSud ;33.338;10.495
COK;ClubolympiqueduKram;TS111J;ElKram;36.835;10.312
COM;ClubOlympiquedeMedenine;TS3121;MedenineSud ;33.338;10.496
COSB;COSBouzid;TS2230;SidiBouzidEst;35.033;9.491
COT;ClubOlympiquedeTransport;TS111A;Sijoumi ;36.799;10.153
CSBA;ClubSportingBenArous;TS1130;BenArous;36.754;10.227
CSBEM;CSBEMbla;TS2126;Bembla;35.698;10.789
CSC;ClubsportifCheminos ;TS1115;ElOmraneSuperieur ;36.814;10.160
CSCH;CroissantSportifCHebba;TS2137;Chebba;35.233;11.100
CSH;CSHazgui;TS2147;Jebiniana;35.041;10.910
CSHL;ClubSportifHammemLif;TS1133;HammamLif ;36.728;10.346
CSK;ClubSportifKorba;TS1153;Korba ;36.580;10.864
CSM;CSMakthar;TS1246;Makthar;35.850;9.196
CSMB;ClubsportifMenzelbouzelfa;TS115B;MenzelBouzelfa ;36.682;10.580
