i;j;distrout
Redeief;Ras Jebel;487
Regueb;Ras Jebel;326
Hamma;Ras Jebel;489
Hajeb Elayoun;Ras Jebel;268
Kalaat El Andalous;Ras Jebel;26
Kasserine;Ras Jebel;334
Jerba Ajim;Ras Jebel;571
Jerba Houmet Souk;Ras Jebel;589
Jedeida;Ras Jebel;64
Jemmal;Ras Jebel;242
Jendouba;Ras Jebel;166
Kairouan;Ras Jebel;215
Ksar;Ras Jebel;400
Korba;Ras Jebel;140
Ksour Essef;Ras Jebel;275
Kerkenah;Ras Jebel;377
Kebili;Ras Jebel;576
Kelibia;Ras Jebel;189
Mahdia;Ras Jebel;274
Mahres;Ras Jebel;364
Makthar;Ras Jebel;223
Le Kef;Ras Jebel;222
Bizerte;Ras Jebel;34
Bouficha;Ras Jebel;143
Bou Arada;Ras Jebel;144
Bou Argoub;Ras Jebel;113
Bou Salem;Ras Jebel;144
Benane Bodher;Ras Jebel;246
Ben Guerdane;Ras Jebel;617
Beja;Ras Jebel;116
Chebba;Ras Jebel;300
Dahmani;Ras Jebel;231
Enfidha;Ras Jebel;169
El Jem;Ras Jebel;265
El Fahs;Ras Jebel;123
Douz;Ras Jebel;605
Ghar El Melh;Ras Jebel;15
Ghardimaou;Ras Jebel;199
Guettar;Ras Jebel;418
Gromballia;Ras Jebel;105
Feriana;Ras Jebel;376
Gafsa;Ras Jebel;403
Gabes;Ras Jebel;476
Gaafour;Ras Jebel;168
Sidi Thabet;Ras Jebel;57
Siliana;Ras Jebel;190
Sidi Bou Ali;Ras Jebel;183
Sidi Bouzid;Ras Jebel;319
Tabarka;Ras Jebel;161
Sousse;Ras Jebel;209
Souk El Ahad;Ras Jebel;592
Skhira;Ras Jebel;417
Sers;Ras Jebel;217
Sbeitla;Ras Jebel;308
Sfax;Ras Jebel;330
Tozeur;Ras Jebel;495
Tunis;Ras Jebel;71
Tajerouine;Ras Jebel;256
Takelsa;Ras Jebel;114
Agareb;Ras Jebel;342
Testour;Ras Jebel;134
Tela;Ras Jebel;295
Tebourba;Ras Jebel;65
Teboursouk;Ras Jebel;156
Tataouine;Ras Jebel;596
Zarzis;Ras Jebel;609
Zaghouan;Ras Jebel;116
Zeramdine;Ras Jebel;245
Zriba;Ras Jebel;125
Alia;Ras Jebel;14
Metlaoui;Ras Jebel;441
Metouia;Ras Jebel;460
Moknine;Ras Jebel;258
Mateur;Ras Jebel;53
Mareth;Ras Jebel;512
Menzel Temime;Ras Jebel;174
Menzel Bourguiba;Ras Jebel;38
Menzel Hayet;Ras Jebel;236
Medenine;Ras Jebel;547
Mediaz El Bab;Ras Jebel;115
Meknassy;Ras Jebel;437
M'Dhilla;Ras Jebel;416
Nabeul;Ras Jebel;133
Nefta;Ras Jebel;519
Monastir;Ras Jebel;237
Mornaguia;Ras Jebel;71
Om Laraies;Ras Jebel;452
Ouedhref;Ras Jebel;455
Regueb;Redeief;206
Hamma;Redeief;219
Hajeb Elayoun;Redeief;225
Kalaat El Andalous;Redeief;465
Kasserine;Redeief;134
Jerba Ajim;Redeief;336
Jerba Houmet Souk;Redeief;354
Jedeida;Redeief;431
Jemmal;Redeief;363
Jendouba;Redeief;318
Kairouan;Redeief;287
Ksar;Redeief;91
Korba;Redeief;428
Ksour Essef;Redeief;374
Kerkenah;Redeief;334
Kebili;Redeief;167
Kelibia;Redeief;467
Mahdia;Redeief;381
Mahres;Redeief;269
Makthar;Redeief;245
Le Kef;Redeief;267
Bizerte;Redeief;474
Bouficha;Redeief;372
Bou Arada;Redeief;321
Bou Argoub;Redeief;402
Bou Salem;Redeief;338
Benane Bodher;Redeief;376
Ben Guerdane;Redeief;382
Beja;Redeief;366
Chebba;Redeief;354
Dahmani;Redeief;257
Enfidha;Redeief;348
El Jem;Redeief;344
