STATIONS;LATITUDE;LONGITUDE;ELEVATION;Tmin;Tmax;SLP;Tmoy;vis dam;vent km/h;point de rosée;P mm
BEJA, TS;36,73;9,18;159,00;11,46;24,62;1017,31;18,56;6916,20;6,44;10,88;590,00
CARTHAGE, TS;36,85;10,23;6,70;14,27;24,62;1016,54;19,14;139,47;13,41;12,63;453,00
GABES, TS;33,88;10,10;7,92;15,62;25,45;1016,74;20,65;165,45;11,56;12,40;192,00
GAFSA, TS;34,42;8,82;323,08;13,74;26,89;1016,38;20,43;162,66;12,76;7,89;163,00
JENDOUBA, TS;36,48;8,80;144,00;12,04;25,76;1016,98;19,17;162,82;8,19;11,55;458,00
KAIROUAN, TS;35,67;10,10;68,00;15,06;27,38;1016,74;20,89;166,60;5,83;10,89;303,00
KASSERINE, TS;35,17;8,83;707,00;11,48;24,14;1016,22;18,47;1765,33;12,85;8,37;340,00
KEBILI, TS;33,70;8,97;46,00;15,35;28,67;1016,38;22,72;4729,88;14,06;10,37;89,00
LE KEF, TS;36,13;8,70;518,00;10,31;23,20;1016,93;17,24;6806,42;8,25;8,06;528,00
MAHDIA, TS;35,50;11,07;12,00;16,51;23,29;1017,05;20,16;9296,41;10,85;14,62;290,00
MEDENINE, TS;33,35;10,48;117,00;16,17;27,56;1016,05;22,57;1321,71;8,74;11,40;159,00
NABEUL, TS;36,47;10,70;78,00;15,70;23,43;1016,78;19,81;8661,81;12,19;14,03;450,00
Tozeur;33,94;8,11;87,47;16,83;28,64;1015,65;22,63;196,05;14,73;8,70;97,00
Bizerte;37,25;9,79;6,09;13,37;23,96;1016,78;18,73;179,86;13,08;13,51;639,00
SIDI BOUZID, TS;35,00;9,48;355,00;13,03;26,21;1016,66;20,26;401,30;8,28;9,46;280,00
SILIANA, TS;36,07;9,37;445,00;11,36;24,50;1016,40;19,02;7017,74;9,24;9,46;389,00
TATAOUINE, TS;32,92;10,45;215,00;15,90;27,20;1016,93;21,41;9453,01;10,30;9,18;110,00
Sfax;34,72;10,69;25,90;14,89;25,24;1016,57;20,06;160,27;11,41;12,43;221,00
ZAGHONAN MAGRANE, TS;36,43;10,08;156,00;12,43;25,07;1018,05;18,58;19375,30;10,33;11,91;501,00
sousse;35,70;10,60;5,00;15,70;24,40;1016,40;19,90;180,00;12,50;13,60;310,00
Monastir;35,67;10,75;2,00;15,65;24,26;1016,40;19,76;172,00;13,89;13,59;322,06
