"code";"nom";"reg_code";"reg_nom";"lat";"lon";"alt";"tmin";"tmax";"tmoy";"prec";"vent";"rosee";"amp";"arid"
"BJ";"Beja";"NO";"Nord-ouest";36.7333333;9.1833333;159;11.4589367437778;24.6203268342632;18.556924330763;590;6.4362911416212;10.8815016822352;13.1613900904854;-20.6604882642919
"BZ";"Bizerte";"NE";"Nord-est";37.245447;9.791453;6.09;13.3673477003451;23.9647541748299;18.734667413005;639;13.0808261964737;13.5072628043661;10.5974064744848;-22.2379466174297
"GB";"Gabes";"SE";"Sud-est";33.876919;10.103333;7.92;15.6212051572149;25.4458527789562;20.6456300381841;192;11.5641578277471;12.3963312591335;9.82464762174134;-6.26516732600278
"GF";"Gafsa";"SO";"Sud-ouest";34.422022;8.822503;323.08;13.7359564777327;26.8886452241718;20.4273644849302;163;12.7595141700405;7.89451192082772;13.1526887464391;-5.35701999694154
"JE";"Jendouba";"NO";"Nord-ouest";36.4833333;8.8;144;12.0350171508708;25.7573862451914;19.1738112835673;458;8.18738529762914;11.5494674701992;13.7223690943205;-15.699011539777
"KR";"Kairouan";"CO";"Centre-ouest";35.6666667;10.1;68;15.0570355391438;27.3799064142394;20.8853672117695;303;5.82625637418678;10.8947257878593;12.3228708750956;-9.81047102087021
"KS";"Kasserine";"CO";"Centre-ouest";35.1666666;8.8333333;707;11.4772035822942;24.1385246604105;18.4668337832627;340;12.8530350944851;8.36625316021768;12.6613210781163;-11.9437237941055
"KB";"Kebili";"SO";"Sud-ouest";33.7;8.9666666;46;15.3482449526681;28.6670576079975;22.7197858199994;89;14.0613621512943;10.3737748177934;13.3188126553295;-2.72006670488656
"KF";"Le Kef";"NO";"Nord-ouest";36.1333333;8.7;518;10.3050600100199;23.1995796031279;17.24169552811;528;8.24694765732213;8.05993378204708;12.8945195931081;-19.3820534942537
"MH";"Mahdia";"CE";"Centre-est";35.5;11.0666666;12;16.5067444444445;23.2937888888889;20.1649111111112;290;10.854368;14.6244999999999;6.78704444444442;-9.61381914674958
"ME";"Medenine";"SE";"Sud-est";33.35;10.4833333;117;16.1711700455024;27.5643853018046;22.5736211330814;159;8.74386280573512;11.4048042982539;11.3932152563022;-4.8812503636116
"MS";"Monastir";"CE";"Centre-est";35.6666666;10.75;2;15.6478306438068;24.2641026737571;19.7615180892091;322.062039215686;13.8886604706424;13.5870942143781;8.61627202995024;-10.8214251117942
"NB";"Nabeul";"NE";"Nord-est";36.4666666;10.7;78;15.7016692514216;23.4330881985093;19.8119715843715;450;12.1904007203963;14.0333350009172;7.73141894708767;-15.0946071690175
"SF";"Sfax";"CE";"Centre-est";34.717953;10.690972;25.9;14.888119729404;25.2408210545829;20.0574413863406;221;11.4089608006672;12.4279770178853;10.3527013251789;-7.35258857064367
"SZ";"Sidi Bou Zid";"CO";"Centre-ouest";35;9.4833333;355;13.0314354011864;26.2068525238562;20.2561584394139;280;8.2839329531709;9.46163815448418;13.1754171226698;-9.25431430962005
"SL";"Siliana";"NO";"Nord-ouest";36.0666666;9.3666666;445;11.361090110523;24.5021960614898;19.0225546315298;389;9.24276055729573;9.45536475021297;13.1411059509667;-13.4033686882062
"SS";"Sousse";"CE";"Centre-est";35.7;10.6;5;15.7;24.4;19.9;310;12.5;13.6;8.7;-10.3678929765886
"TA";"Tataouine";"SE";"Sud-est";32.9166666;10.45;215;15.9032047941636;27.2010016791152;21.4121793758324;110;10.2981552892131;9.18234323432343;11.2977968849516;-3.50182643120365
"TO";"Tozeur";"SO";"Sud-ouest";33.939722;8.110556;87.47;16.8318943107543;28.6426906937021;22.6340983363044;97;14.7324598930482;8.69741997177657;11.8107963829478;-2.97235115860672
"TU";"Tunis";"NE";"Nord-est";36.851033;10.227217;6.7;14.2689885316789;24.617444538447;19.1423787366046;453;13.4056175972928;12.6264217898102;10.3484560067681;-15.5443728219414
"ZA";"Zaghouan";"NE";"Nord-est";36.4333333;10.0833333;156;12.4336104812296;25.0657316424513;18.5765656056661;501;10.3317107583775;11.9073654153019;12.6321211612217;-17.5318478404089
