"GID_2","HASC_2","NAME_1","NAME_2","TYPE_2"
"TUN.1.1_1","TN.AN.AR","Ariana","Ariana Médina","Delegation"
"TUN.1.2_1","TN.AN.ET","Ariana","Ettadhamen","Delegation"
"TUN.1.3_1","TN.AN.KA","Ariana","Kalaat El Andalous","Delegation"
"TUN.1.4_1","TN.AN.MN","Ariana","Mnihla","Delegation"
"TUN.1.5_1","TN.AN.RA","Ariana","Raoued","Delegation"
"TUN.1.6_1",NA,"Ariana","Sebkhet Ariana","Water body"
"TUN.1.7_1","TN.AN.ST","Ariana","Sidi Thabet","Delegation"
"TUN.1.8_1","TN.AN.LS","Ariana","Soukra","Delegation"
"TUN.2.1_1","TN.BJ.AM","Béja","Amdoun","Delegation"
"TUN.2.2_1","TN.BJ.BN","Béja","Béja Nord","Delegation"
"TUN.2.3_1","TN.BJ.BS","Béja","Béja Sud","Delegation"
"TUN.2.4_1","TN.BJ.GO","Béja","Goubellat","Delegation"
"TUN.2.5_1","TN.BJ.MB","Béja","Mejez El Bab","Delegation"
"TUN.2.6_1","TN.BJ.NE","Béja","Nefza","Delegation"
"TUN.2.7_1","TN.BJ.TB","Béja","Téboursouk","Delegation"
"TUN.2.8_1","TN.BJ.TT","Béja","Testour","Delegation"
"TUN.2.9_1","TN.BJ.TH","Béja","Thibar","Delegation"
"TUN.3.1_1","TN.BA.BA","Ben Arous (Tunis Sud)","Ben Arous","Delegation"
"TUN.3.2_1","TN.BA.BE","Ben Arous (Tunis Sud)","Boumhel","Delegation"
"TUN.3.3_1","TN.BA.MJ","Ben Arous (Tunis Sud)","El Mourouj","Delegation"
"TUN.3.4_1","TN.BA.EZ","Ben Arous (Tunis Sud)","Ezzahra","Delegation"
"TUN.3.5_1","TN.BA.FO","Ben Arous (Tunis Sud)","Fouchana","Delegation"
"TUN.3.6_1","TN.BA.HC","Ben Arous (Tunis Sud)","Hammam Chott","Delegation"
"TUN.3.7_1","TN.BA.HL","Ben Arous (Tunis Sud)","Hammam Lif","Delegation"
