agglosID,agglosName,ISO3,Longitude,Latitude,Pop2015,builtUp,Voronoi,Pop1950,Pop1960,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,Metropole
6848,Norton (West),ZWE,"30,656","-17,898",59773,"14,4362872402139",3485,0,0,0,0,17161,34926,57769,No
6849,Notse,TGO,"1,165","6,952",58713,"12,2574966791477",1279,0,0,0,0,13317,21397,47863,No
6850,Nouaceur,MAR,"-7,562","33,383",75559,"33,9996946755759",200,0,0,0,0,0,11466,18223,No
6851,Nouadhibou,MRT,"-17,034","20,956",129573,"23,2601721485481",47548,0,0,15451,29165,61209,72337,106052,No
6852,Nouakchott,MRT,"-15,989","18,092",1060776,"185,604717946808",19280,0,0,40796,184139,416956,558195,850753,Yes
6853,Nouna,BFA,"-3,859","12,732",27544,"12,9517819102152",3907,0,0,0,13855,16709,20140,24240,No
6854,Nouvelle France,MUS,"57,58","-20,39",12298,"3,51414763263153",124,1709,3097,4243,7886,9151,10479,11913,No
6840,No name,COD,"27,064","-11,148",11000,"1,55925457405451",145,0,0,0,0,0,0,0,No
6841,No name,NGA,"5,387","9,965",23000,"3,04008710099453",345,0,0,0,0,0,0,26700,No
6842,No name,NGA,"11,472","10,919",22500,"3,2182855752149",1091,0,0,0,0,0,0,0,No
6843,No name,NGA,"6,747","5,513",13000,"3,92008416453854",222,0,0,0,0,0,0,0,No
6844,Nola,CAF,"16,058","3,52",36630,"4,97929920352571",20502,0,0,0,0,15783,25731,33478,No
6845,Nomathamsanqa,ZAF,"25,712","-33,523",14241,"1,38307315209288",2979,0,0,0,0,0,0,12179,No
6846,Noordhoek,ZAF,"18,155","-32,775",10910,"3,2092046101685",2012,0,0,0,0,0,0,0,No
6799,Nkongsamba,CMR,"9,934","4,962",131159,"17,7394705907454",1230,15300,29000,53400,78007,88432,98385,117701,No
6800,Nkonkonjeru,UGA,"32,926","0,239",45863,"7,23461302441551",2861,0,0,0,0,0,10512,12282,No
6801,Nkonsia,GHA,"-2,108","7,693",10775,"4,54305715877934",240,0,0,0,0,0,0,0,No
6802,Nkopola UA,MWI,"35,147","-14,338",51050,"14,554327348654",1219,0,0,0,0,0,0,42949,No
6803,Nkoranza,GHA,"-1,698","7,559",39273,"13,877550927976",1415,0,0,0,12196,17279,21715,34610,No
6804,Nkotakata UA,MWI,"33,048","-13,835",16350,"4,85970834962044",802,0,0,0,0,0,0,13700,No
6805,Nkoteng,CMR,"12,122","4,503",22133,"5,16871178231672",2127,0,0,0,0,12904,15901,19817,No
6806,Nkozi,UGA,"32,033","0,006",43937,"4,16193909816612",409,0,0,0,0,23865,29400,37870,No
6791,Nkenkaasu,GHA,"-1,903","7,319",11050,"2,72861033399969",375,0,0,0,0,0,10014,0,No
6792,Nkhata bay,MWI,"34,277","-11,61",14172,"9,96959931376935",2043,0,0,0,0,0,0,12100,No
6793,Nkhoma UA,MWI,"34,104","-14,042",10273,"2,05289747356044",1490,0,0,0,0,0,0,0,No
6794,Nkhotakota,MWI,"34,284","-12,93",42786,"14,7446708248953",3470,0,0,0,10835,13776,20120,36589,No
6795,Nko,NGA,"8,191","5,878",17425,"2,03715629432235",191,0,16246,10000,0,0,0,14700,No
6796,Nkobongo,ZAF,"31,208","-29,444",14288,"2,33192400100714",205,0,0,0,0,0,0,11834,No
6797,Nkombe,UGA,"33,414","0,439",13559,"1,77093964013353",257,0,0,0,0,0,0,0,No
6798,Nkome,TZA,"32,13","-2,572",21987,"2,4984589722535",900,0,0,0,0,0,14214,19205,No
6815,Nkwenkwezi,ZAF,"26,901","-33,588",24442,"8,93203650865296",1996,0,0,0,0,0,20676,23115,No
6817,Nkwoida,NGA,"7,412","6,476",14345,"4,99162072213502",228,0,0,0,0,0,0,13600,No
6818,Nkwo-Nando,NGA,"6,932","6,322",26308,"7,3385850449976",56,0,0,0,0,0,0,0,No
6819,Nmiata,NGA,"6,79","6,417",10200,"1,70729849720532",382,0,0,0,0,0,0,0,No
6820,NNA_(New Setllement) 4000 houses,SDN,"36,037","14,262",22400,"3,5579956592619",993,0,0,0,0,0,14218,19251,No
6821,NNA_(New settlement),SDN,"34,424","11,39",11100,"1,6627113507449",2612,0,0,0,0,0,0,0,No
6822,NNA_(New settlement) 1960 houses,SDN,"34,296","11,624",10976,"1,65740716431372",292,0,0,0,0,0,0,0,No
6807,Nkpat Enin,NGA,"7,746","4,735",14896,"3,9056463461691",186,0,0,0,0,0,0,14900,No
6808,Nkrankwanta,GHA,"-3,043","7,024",13076,"2,96694267703349",1028,0,0,0,0,0,0,10824,No
6810,Nkungwe,TZA,"29,719","-4,776",46412,"10,5414653589885",212,0,0,0,0,0,17218,21619,No
6811,Nkwanta,GHA,"0,524","8,255",29435,"6,10362173339605",1928,0,0,0,0,0,11367,23513,No
6812,Nkwatanum-Essiam,GHA,"-0,978","5,402",19482,"3,44157246838561",259,0,0,0,0,0,0,16410,No
6813,Nkwatia,GHA,"-0,712","6,606",31188,"16,6856319825692",288,0,0,0,0,0,0,27555,No
